title,score,binary_genre ('Adventure','Cars','Comedy','Dementia','Demons','Drama','Ecchi','Fantasy','Game','Harem','Hentai','Historical','Horror','Josei','Kids','Magic','Martial Arts','Mecha','Military','Music','Mystery','Parody','Police','Psychological','Romance','Samurai','School','Sci-Fi','Seinen','Shoujo Ai','Shoujo','Shounen Ai','Shounen','Slice of Life','Space','Sports','Super Power','Supernatural','Thriller','Vampire','Yaoi')
Love Live! School Idol Project 2nd Season,7.91,00000000000000000000000000100000000000000
Kuroshitsuji,7.91,00101000000100000000100000000000000001000
InuYasha (TV),7.91,10101001000100010000000010000000000001000
Danshi Koukousei no Nichijou Specials,7.91,00000000000000000000000000100000100000000
Bishoujo Senshi Sailor Moon S,7.91,00000000000000010000000010000000000000000
Baby Steps,7.91,00000000000000000000000000100000100000000
Yuusha-Ou GaoGaiGar,7.92,00000000000000000100000000010000000000000
Top wo Nerae! Gunbuster,7.92,00100100000000000110000000010000100000000
Maria-sama ga Miteru 3rd,7.92,00000000000000000000000000100100000000000
Magic Kaito,7.92,00100000000000000000000010000000000000000
Hoozuki no Reitetsu 2nd Season,7.92,00001001000000000000000000000000000001000
Hataraku Maou-sama!,7.92,00001000000000000000000010000000000001000
Uchouten Kazoku,7.93,00101100000000000000000000000000000000000
Working'!!,7.93,00000000000000000000000010001000000000000
Tokyo Ghoul,7.93,00000100000010000000100100000000000001000
Seihou Bukyou Outlaw Star,7.93,10000000000000000000000000010000001000000
Saiyuuki Gaiden,7.93,10000100000000000000000000000000000000000
Naruto,7.93,10100000000000001000000000000000000010000
Magi: Sinbad no Bouken,7.93,10000001000000010000000000000000000000000
Fairy Tail,7.93,10100001000000010000000000000000000000000
Eikoku Koi Monogatari Emma: Molders-hen,7.93,00000100000100000000000010000000000000000
Zan Sayonara Zetsubou Sensei,7.94,00000000000000000000010000100000000000000
Akachan to Boku,7.93,00000100000000000000000000000000000000000
Seto no Hanayome OVA,7.94,00000000000000000000010010100000000000000
